"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST0000147558","INV0001041","90.46","25-Aug-2002"
"CUST0000001091","INV0001057","94.39","02-Sep-2002"
"CUST0000305894","INV0001110","99.01","06-Oct-2002"
"CUST0000151696","INV0001500","85.98","20-May-2003"
"CUST0000123364","INV0001781","96.09","07-Nov-2003"
"CUST0000001423","INV0002598","78.69","07-Feb-2005"
"CUST0000412182","INV0003136","100.1","21-Dec-2005"
"CUST0000245204","INV0003545","79.55","16-Aug-2006"
"CUST0000064703","INV0003973","100.36","21-Apr-2007"
"CUST0000002319","INV0005969","70.34","24-Jun-2010"
"CUST0000365318","INV0006868","89.28","24-Nov-2011"
"CUST0000438211","INV0007202","115.87","10-Jun-2012"
"CUST0000361259","INV0007655","87.88","18-Mar-2013"
"CUST0000077125","INV0008818","102.07","30-Jan-2015"
"CUST0000022438","INV0009616","107.05","30-Apr-2016"
"CUST0000445271","INV0009696","112.3","09-Jun-2016"
"CUST0000395297","INV0010319","70.85","26-May-2017"
"CUST0000365811","INV0010871","106.65","06-Apr-2018"
"CUST0000027780","INV0011364","87.1","09-Jan-2019"
"CUST0000384454","INV0012169","70.48","12-Apr-2020"
"CUST0000335691","INV0012224","109.97","15-May-2020"
"CUST0000462624","INV0012676","95.56","08-Jan-2021"
"CUST0000143004","INV0012980","109.14","01-Jul-2021"
"CUST0000440473","INV0013099","95.37","05-Sep-2021"
"CUST0000093571","INV0013400","98.17","12-Feb-2022"
"CUST0000305426","INV0013835","115.49","03-Nov-2022"
"CUST0000040572","INV0013974","78.91","23-Jan-2023"
"CUST0000136141","INV0013980","96.93","28-Jan-2023"
"CUST0000310523","INV0014259","88.03","13-Jul-2023"
"CUST0000017439","INV0014438","74.46","21-Oct-2023"
"CUST0000350516","INV0014472","119.27","09-Nov-2023"
"CUST0000342642","INV0014645","114.06","13-Feb-2024"
"CUST0000334219","INV0014764","99.0","24-Apr-2024"
"CUST0000000393","INV0015120","85.78","22-Nov-2024"
"CUST0000191608","INV0015712","86.14","23-Oct-2025"
"CUST0000456997","INV0015756","77.89","11-Nov-2025"
"CUST0000386336","INV0017966","94.2","28-Jun-2029"
"CUST0000431885","INV0019140","94.37","29-Apr-2031"
"CUST0000157899","INV0019248","92.8","20-Jun-2031"
"CUST0000164657","INV0019324","110.33","06-Aug-2031"
"CUST0000075488","INV0019391","98.94","10-Sep-2031"
"CUST0000049651","INV0019781","115.52","18-Apr-2032"
"CUST0000080289","INV0020100","99.1","17-Oct-2032"
"CUST0000057038","INV0020178","115.63","05-Dec-2032"
"CUST0000456083","INV0020562","72.33","09-Jul-2033"
"CUST0000394072","INV0020813","84.62","03-Dec-2033"
"CUST0000137064","INV0020859","88.23","25-Dec-2033"
"CUST0000470233","INV0021588","82.21","12-Mar-2035"
"CUST0000310566","INV0022333","78.56","05-May-2036"
"CUST0000448406","INV0022776","88.3","11-Jan-2037"
"CUST0000413180","INV0023106","102.69","18-Jul-2037"
"CUST0000354201","INV0024085","90.14","19-Feb-2039"
"CUST0000189940","INV0025793","70.09","09-Nov-2041"
"CUST0000177439","INV0026016","82.06","12-Mar-2042"
"CUST0000263795","INV0026239","106.17","30-Jul-2042"
"CUST0000456805","INV0026393","104.85","22-Oct-2042"
"CUST0000026159","INV0026444","105.19","20-Nov-2042"
"CUST0000064613","INV0026709","107.53","06-Apr-2043"
"CUST0000092350","INV0027094","79.96","01-Dec-2043"
"CUST0000396670","INV0027735","97.67","14-Dec-2044"
"CUST0000390760","INV0027902","105.99","17-Mar-2045"
"CUST0000018060","INV0028240","90.66","16-Oct-2045"
"CUST0000073565","INV0028808","77.54","09-Sep-2046"
"CUST0000072717","INV0028892","70.78","29-Oct-2046"
"CUST0000499410","INV0030681","96.88","12-Sep-2049"
"CUST0000211688","INV0031163","94.03","24-Jun-2050"
"CUST0000465563","INV0032116","80.89","08-Jan-2052"
"CUST0000158840","INV0032274","109.31","07-Apr-2052"
"CUST0000322089","INV0032434","94.68","02-Jul-2052"
"CUST0000307232","INV0033000","75.38","17-May-2053"
"CUST0000471271","INV0033988","90.1","10-Dec-2054"
"CUST0000027780","INV0034106","118.74","16-Feb-2055"
"CUST0000310170","INV0034571","97.52","17-Nov-2055"
"CUST0000394064","INV0034870","86.65","30-Apr-2056"
"CUST0000499410","INV0035598","92.11","01-Jul-2057"
"CUST0000161807","INV0035666","100.25","09-Aug-2057"
"CUST0000092380","INV0037378","84.29","28-Apr-2060"
"CUST0000007618","INV0037672","90.49","24-Oct-2060"
"CUST0000081507","INV0037709","92.07","11-Nov-2060"
"CUST0000219927","INV0038219","89.78","12-Sep-2061"
"CUST0000160324","INV0038231","90.69","18-Sep-2061"
"CUST0000001968","INV0038556","72.97","06-Apr-2062"
"CUST0000020720","INV0038590","74.36","19-Apr-2062"
"CUST0000390872","INV0038596","98.91","22-Apr-2062"
"CUST0000168344","INV0038599","77.78","24-Apr-2062"
"CUST0000077279","INV0038846","99.35","08-Sep-2062"
"CUST0000157899","INV0039079","102.61","13-Jan-2063"
"CUST0000260751","INV0039082","99.69","15-Jan-2063"
"CUST0000465980","INV0039565","87.5","25-Oct-2063"
"CUST0000108880","INV0040091","103.94","06-Aug-2064"
